source,sink,linemva,linesus
BEBE,CORN1,100000000,0.00001
MUSG,CORN1,100000000,0.00001
SNRD,CORN1,100000000,0.00001
HARF,CORN1,100000000,0.00001
GENE,CORN1,100000000,0.00001
CASC,CORN1,100000000,0.00001
CORN2,CORN1,100000000,0.00001
LSRE,CORN1,100000000,9999
LSRE,CORN1,100000000,0.00001
