,Node,Time,Value
198,LSRE,7,-277500.0
199,LSRE,8,-124645.94199999975
200,LSRE,9,0.0
201,LSRE,10,1113289.237
202,LSRE,11,0.0
203,LSRE,12,0.0
204,LSRE,13,0.0
205,LSRE,14,0.0
206,LSRE,15,0.0
207,LSRE,16,0.0
208,LSRE,17,0.0
209,LSRE,18,0.0
210,LSRE,19,-277500.0
211,LSRE,20,-277500.0
212,LSRE,21,-277500.0
213,LSRE,22,-277500.0
214,LSRE,23,-277500.0
215,LSRE,24,-277500.0
216,BEBE,25,-214206.796375
217,BEBE,26,-214394.92056250002
218,BEBE,27,-214682.5500525
219,BEBE,28,-214617.28825
220,BEBE,29,-214797.136
221,BEBE,30,-214958.1253125
222,BEBE,31,-214952.9406875
223,BEBE,32,-215203.0236875
224,BEBE,33,0.0
225,BEBE,34,0.0
226,BEBE,35,0.0
227,BEBE,36,0.0
228,BEBE,37,0.0
229,BEBE,38,0.0
230,BEBE,39,0.0
231,BEBE,40,0.0
232,BEBE,41,0.0
233,BEBE,42,0.0
234,BEBE,43,-211463.079875
235,BEBE,44,-211359.2370625
236,BEBE,45,-211552.43487499998
237,BEBE,46,-211560.824625
238,BEBE,47,-211567.41525
239,BEBE,48,-211458.898875
240,CORN1,25,-277500.0
241,CORN1,26,-277500.0
242,CORN1,27,-277500.0
243,CORN1,28,-277500.0
244,CORN1,29,-277500.0
245,CORN1,30,-277500.0
246,CORN1,31,-277500.0
247,CORN1,32,-277500.0
248,CORN1,33,0.0
249,CORN1,34,0.0
250,CORN1,35,0.0
251,CORN1,36,0.0
252,CORN1,37,0.0
253,CORN1,38,0.0
254,CORN1,39,0.0
255,CORN1,40,0.0
256,CORN1,41,0.0
257,CORN1,42,0.0
258,CORN1,43,-277500.0
259,CORN1,44,-277500.0
260,CORN1,45,-277500.0
261,CORN1,46,-277500.0
262,CORN1,47,-277500.0
263,CORN1,48,-277500.0
264,CORN2,25,0.0
265,CORN2,26,0.0
266,CORN2,27,0.0
267,CORN2,28,0.0
268,CORN2,29,0.0
269,CORN2,30,0.0
270,CORN2,31,0.0
271,CORN2,32,0.0
272,CORN2,33,0.0
273,CORN2,34,0.0
274,CORN2,35,0.0
275,CORN2,36,0.0
276,CORN2,37,0.0
277,CORN2,38,0.0
278,CORN2,39,0.0
279,CORN2,40,0.0
280,CORN2,41,0.0
281,CORN2,42,0.0
282,CORN2,43,0.0
283,CORN2,44,0.0
284,CORN2,45,0.0
285,CORN2,46,0.0
286,CORN2,47,0.0
287,CORN2,48,0.0
288,MUSG,25,-277500.0
289,MUSG,26,-277500.0
290,MUSG,27,-277500.0
291,MUSG,28,-277500.0
292,MUSG,29,-277500.0
293,MUSG,30,-277500.0
294,MUSG,31,-277500.0
295,MUSG,32,-277500.0
296,MUSG,33,0.0
297,MUSG,34,0.0
298,MUSG,35,0.0
299,MUSG,36,0.0
300,MUSG,37,0.0
301,MUSG,38,0.0
302,MUSG,39,0.0
303,MUSG,40,0.0
304,MUSG,41,0.0
305,MUSG,42,0.0
306,MUSG,43,-277500.0
307,MUSG,44,-277500.0
308,MUSG,45,-277500.0
309,MUSG,46,-277500.0
310,MUSG,47,-277500.0
311,MUSG,48,-277500.0
312,SNRD,25,-277500.0
313,SNRD,26,-277500.0
314,SNRD,27,-277500.0
315,SNRD,28,-277500.0
316,SNRD,29,-277500.0
317,SNRD,30,-277500.0
318,SNRD,31,-277500.0
319,SNRD,32,-277500.0
320,SNRD,33,0.0
321,SNRD,34,0.0
322,SNRD,35,0.0
323,SNRD,36,0.0
324,SNRD,37,0.0
325,SNRD,38,0.0
326,SNRD,39,0.0
327,SNRD,40,0.0
328,SNRD,41,0.0
329,SNRD,42,0.0
330,SNRD,43,-277500.0
331,SNRD,44,-277500.0
332,SNRD,45,-277500.0
333,SNRD,46,-277500.0
334,SNRD,47,-277500.0
335,SNRD,48,-277500.0
336,HARF,25,-277500.0
337,HARF,26,-277500.0
338,HARF,27,-277500.0
339,HARF,28,-277500.0
340,HARF,29,-277500.0
341,HARF,30,-277500.0
342,HARF,31,-277500.0
343,HARF,32,-277500.0
344,HARF,33,0.0
345,HARF,34,0.0
346,HARF,35,0.0
347,HARF,36,0.0
348,HARF,37,0.0
349,HARF,38,1240017.1589999998
350,HARF,39,0.0
351,HARF,40,0.0
352,HARF,41,0.0
353,HARF,42,0.0
354,HARF,43,-277500.0
355,HARF,44,-277500.0
356,HARF,45,-277500.0
357,HARF,46,-277500.0
358,HARF,47,-277500.0
359,HARF,48,-277500.0
360,GENE,25,-277500.0
361,GENE,26,-277500.0
362,GENE,27,-277500.0
363,GENE,28,-277500.0
364,GENE,29,-277500.0
365,GENE,30,-277500.0
366,GENE,31,-277500.0
367,GENE,32,-277500.0
368,GENE,33,0.0
369,GENE,34,0.0
370,GENE,35,0.0
371,GENE,36,1215511.932
372,GENE,37,0.0
373,GENE,38,0.0
374,GENE,39,1262029.413
375,GENE,40,1253377.6619999998
376,GENE,41,0.0
377,GENE,42,0.0
378,GENE,43,-277500.0
379,GENE,44,-277500.0
380,GENE,45,-277500.0
381,GENE,46,-277500.0
382,GENE,47,-277500.0
383,GENE,48,-277500.0
384,CASC,25,-277500.0
385,CASC,26,-277500.0
386,CASC,27,-277500.0
387,CASC,28,-277500.0
388,CASC,29,-277500.0
389,CASC,30,-277500.0
390,CASC,31,-277500.0
391,CASC,32,-277500.0
392,CASC,33,0.0
393,CASC,34,0.0
394,CASC,35,1168561.296
395,CASC,36,0.0
396,CASC,37,1239891.3029999998
397,CASC,38,0.0
398,CASC,39,0.0
399,CASC,40,0.0
400,CASC,41,1256727.095
401,CASC,42,1256796.0579999997
402,CASC,43,-277500.0
403,CASC,44,-277500.0
404,CASC,45,-277500.0
405,CASC,46,-277500.0
406,CASC,47,-277500.0
407,CASC,48,-277500.0
408,LSRE,25,-277500.0
409,LSRE,26,-277500.0
410,LSRE,27,-277500.0
411,LSRE,28,-277500.0
412,LSRE,29,-277500.0
413,LSRE,30,-277500.0
414,LSRE,31,-277500.0
415,LSRE,32,-277500.0
416,LSRE,33,1112074.103
417,LSRE,34,1136081.069
418,LSRE,35,0.0
419,LSRE,36,0.0
420,LSRE,37,0.0
421,LSRE,38,0.0
422,LSRE,39,0.0
423,LSRE,40,0.0
424,LSRE,41,0.0
425,LSRE,42,0.0
426,LSRE,43,-277500.0
427,LSRE,44,-277500.0
428,LSRE,45,-277500.0
429,LSRE,46,-277500.0
430,LSRE,47,-277500.0
431,LSRE,48,-277500.0
432,BEBE,49,-211425.894875
433,BEBE,50,-211641.31118750002
434,BEBE,51,-211410.410375
435,BEBE,52,-211456.3389375
436,BEBE,53,-211565.421875
437,BEBE,54,-211541.214625
438,BEBE,55,-211546.56806249998
439,BEBE,56,-211527.28643749998
440,BEBE,57,0.0
441,BEBE,58,0.0
442,BEBE,59,0.0
443,BEBE,60,0.0
444,BEBE,61,0.0
445,BEBE,62,0.0
446,BEBE,63,0.0
447,BEBE,64,0.0
448,BEBE,65,0.0
449,BEBE,66,-211319.5915625
450,BEBE,67,-211426.764375
451,BEBE,68,-211478.8256875
452,BEBE,69,-211343.13975
453,BEBE,70,-211350.9351875
454,BEBE,71,-211297.61125000002
455,BEBE,72,-211282.82974999998
456,CORN1,49,-277500.0
457,CORN1,50,-277500.0
458,CORN1,51,-277500.0
459,CORN1,52,-277500.0
460,CORN1,53,-277500.0
461,CORN1,54,-277500.0
462,CORN1,55,-277500.0
463,CORN1,56,-277500.0
464,CORN1,57,0.0
465,CORN1,58,0.0
466,CORN1,59,0.0
467,CORN1,60,0.0
468,CORN1,61,0.0
469,CORN1,62,0.0
470,CORN1,63,0.0
471,CORN1,64,0.0
472,CORN1,65,0.0
473,CORN1,66,-277500.0
474,CORN1,67,-277500.0
475,CORN1,68,-277500.0
476,CORN1,69,-277500.0
477,CORN1,70,-277500.0
478,CORN1,71,-277500.0
479,CORN1,72,-277500.0
480,CORN2,49,0.0
481,CORN2,50,0.0
482,CORN2,51,0.0
483,CORN2,52,0.0
484,CORN2,53,0.0
485,CORN2,54,0.0
486,CORN2,55,0.0
487,CORN2,56,0.0
488,CORN2,57,0.0
489,CORN2,58,0.0
490,CORN2,59,0.0
491,CORN2,60,0.0
492,CORN2,61,0.0
493,CORN2,62,0.0
494,CORN2,63,0.0
495,CORN2,64,0.0
496,CORN2,65,0.0
497,CORN2,66,0.0
498,CORN2,67,0.0
499,CORN2,68,0.0
500,CORN2,69,0.0
501,CORN2,70,0.0
502,CORN2,71,0.0
503,CORN2,72,0.0
504,MUSG,49,-277500.0
505,MUSG,50,-277500.0
506,MUSG,51,-277500.0
507,MUSG,52,-277500.0
508,MUSG,53,-277500.0
509,MUSG,54,-277500.0
510,MUSG,55,-277500.0
511,MUSG,56,-189625.0
512,MUSG,57,0.0
513,MUSG,58,0.0
514,MUSG,59,0.0
515,MUSG,60,0.0
516,MUSG,61,0.0
517,MUSG,62,0.0
518,MUSG,63,0.0
519,MUSG,64,0.0
520,MUSG,65,0.0
521,MUSG,66,-277500.0
522,MUSG,67,-277500.0
523,MUSG,68,-277500.0
524,MUSG,69,-277500.0
525,MUSG,70,-277500.0
526,MUSG,71,-277500.0
527,MUSG,72,-277500.0
528,SNRD,49,-277500.0
529,SNRD,50,-277500.0
530,SNRD,51,-277500.0
531,SNRD,52,-277500.0
532,SNRD,53,-277500.0
533,SNRD,54,-277500.0
534,SNRD,55,-277500.0
535,SNRD,56,-277500.0
536,SNRD,57,0.0
537,SNRD,58,0.0
538,SNRD,59,0.0
539,SNRD,60,0.0
540,SNRD,61,1382420.9099999997
541,SNRD,62,1450038.675
542,SNRD,63,0.0
543,SNRD,64,0.0
544,SNRD,65,0.0
545,SNRD,66,-277500.0
546,SNRD,67,-277500.0
547,SNRD,68,-277500.0
548,SNRD,69,-277500.0
549,SNRD,70,-277500.0
550,SNRD,71,-277500.0
551,SNRD,72,-277500.0
552,HARF,49,-277500.0
553,HARF,50,-277500.0
554,HARF,51,-277500.0
555,HARF,52,-277500.0
556,HARF,53,-277500.0
557,HARF,54,-277500.0
558,HARF,55,-277500.0
559,HARF,56,-277500.0
560,HARF,57,1154946.829
561,HARF,58,1187673.2489999998
562,HARF,59,0.0
563,HARF,60,0.0
564,HARF,61,0.0
565,HARF,62,0.0
566,HARF,63,1501073.822
567,HARF,64,0.0
568,HARF,65,0.0
569,HARF,66,-277500.0
570,HARF,67,-277500.0
571,HARF,68,-277500.0
572,HARF,69,-277500.0
573,HARF,70,-277500.0
574,HARF,71,-277500.0
575,HARF,72,-277500.0
576,GENE,49,-277500.0
577,GENE,50,-277500.0
578,GENE,51,-277500.0
579,GENE,52,-277500.0
580,GENE,53,-277500.0
581,GENE,54,-277500.0
582,GENE,55,-277500.0
583,GENE,56,-277500.0
584,GENE,57,0.0
585,GENE,58,0.0
586,GENE,59,0.0
587,GENE,60,1342655.4409999999
588,GENE,61,0.0
589,GENE,62,0.0
590,GENE,63,0.0
591,GENE,64,0.0
592,GENE,65,0.0
593,GENE,66,-277500.0
594,GENE,67,-277500.0
595,GENE,68,-277500.0
596,GENE,69,-277500.0
597,GENE,70,-277500.0
598,GENE,71,-277500.0
599,GENE,72,-277500.0
600,CASC,49,-277500.0
601,CASC,50,-277500.0
602,CASC,51,-277500.0
603,CASC,52,-277500.0
604,CASC,53,-277500.0
605,CASC,54,-277500.0
606,CASC,55,-277500.0
607,CASC,56,-277500.0
608,CASC,57,0.0
609,CASC,58,0.0
610,CASC,59,0.0
611,CASC,60,0.0
612,CASC,61,0.0
613,CASC,62,0.0
614,CASC,63,0.0
615,CASC,64,0.0
616,CASC,65,0.0
617,CASC,66,-277500.0
618,CASC,67,-277500.0
619,CASC,68,-277500.0
620,CASC,69,-277500.0
621,CASC,70,-277500.0
622,CASC,71,-277500.0
623,CASC,72,-277500.0
624,LSRE,49,-277500.0
625,LSRE,50,-277500.0
626,LSRE,51,-277500.0
627,LSRE,52,-277500.0
628,LSRE,53,-277500.0
629,LSRE,54,-277500.0
630,LSRE,55,-277500.0
631,LSRE,56,-277500.0
632,LSRE,57,0.0
633,LSRE,58,0.0
634,LSRE,59,1250461.08
635,LSRE,60,0.0
636,LSRE,61,0.0
637,LSRE,62,0.0
638,LSRE,63,0.0
639,LSRE,64,1530164.7419999999
640,LSRE,65,1520046.305
641,LSRE,66,-277500.0
642,LSRE,67,-277500.0
643,LSRE,68,-277500.0
644,LSRE,69,-277500.0
645,LSRE,70,-277500.0
646,LSRE,71,-277500.0
647,LSRE,72,-277500.0
648,BEBE,73,-211160.234875
649,BEBE,74,-211143.9225
650,BEBE,75,-211260.014625
651,BEBE,76,-211121.37793750002
652,BEBE,77,-211188.008
653,BEBE,78,-211076.26799999998
654,BEBE,79,-210992.6225625
655,BEBE,80,-211131.79575
656,BEBE,81,0.0
657,BEBE,82,0.0
658,BEBE,83,0.0
659,BEBE,84,0.0
660,BEBE,85,0.0
661,BEBE,86,0.0
662,BEBE,87,0.0
663,BEBE,88,0.0
664,BEBE,89,0.0
665,BEBE,90,66476.22112500001
666,BEBE,91,-211044.37631249998
667,BEBE,92,-210958.64500000002
668,BEBE,93,-211211.341125
669,BEBE,94,-211102.57268749998
670,BEBE,95,-211156.62275
671,BEBE,96,-211094.4535
672,CORN1,73,-277500.0
673,CORN1,74,-277500.0
674,CORN1,75,-277500.0
675,CORN1,76,-277500.0
676,CORN1,77,-277500.0
677,CORN1,78,-277500.0
678,CORN1,79,-277500.0
679,CORN1,80,-277500.0
680,CORN1,81,0.0
681,CORN1,82,0.0
682,CORN1,83,0.0
683,CORN1,84,0.0
684,CORN1,85,0.0
685,CORN1,86,0.0
686,CORN1,87,0.0
687,CORN1,88,0.0
688,CORN1,89,0.0
689,CORN1,90,0.0
690,CORN1,91,-277500.0
691,CORN1,92,-277500.0
692,CORN1,93,-277500.0
693,CORN1,94,-277500.0
694,CORN1,95,-277500.0
695,CORN1,96,-277500.0
696,CORN2,73,0.0
697,CORN2,74,0.0
698,CORN2,75,0.0
699,CORN2,76,0.0
700,CORN2,77,0.0
701,CORN2,78,0.0
702,CORN2,79,0.0
703,CORN2,80,0.0
704,CORN2,81,0.0
705,CORN2,82,0.0
706,CORN2,83,0.0
707,CORN2,84,0.0
708,CORN2,85,0.0
709,CORN2,86,0.0
710,CORN2,87,0.0
711,CORN2,88,0.0
712,CORN2,89,0.0
713,CORN2,90,0.0
714,CORN2,91,0.0
715,CORN2,92,0.0
716,CORN2,93,0.0
717,CORN2,94,0.0
718,CORN2,95,0.0
719,CORN2,96,0.0
720,MUSG,73,-277500.0
721,MUSG,74,-277500.0
722,MUSG,75,-277500.0
723,MUSG,76,-277500.0
724,MUSG,77,-277500.0
725,MUSG,78,-277500.0
726,MUSG,79,-277500.0
727,MUSG,80,-277500.0
728,MUSG,81,0.0
729,MUSG,82,1176139.7789999999
730,MUSG,83,1227950.9849999999
731,MUSG,84,1296854.531
732,MUSG,85,0.0
733,MUSG,86,0.0
734,MUSG,87,0.0
735,MUSG,88,0.0
736,MUSG,89,0.0
737,MUSG,90,0.0
738,MUSG,91,-277500.0
739,MUSG,92,-277500.0
740,MUSG,93,-277500.0
741,MUSG,94,-277500.0
742,MUSG,95,-277500.0
743,MUSG,96,-277500.0
744,SNRD,73,-277500.0
745,SNRD,74,-277500.0
746,SNRD,75,-277500.0
747,SNRD,76,-277500.0
748,SNRD,77,-277500.0
749,SNRD,78,-277500.0
750,SNRD,79,-277500.0
751,SNRD,80,-277500.0
752,SNRD,81,0.0
753,SNRD,82,0.0
754,SNRD,83,0.0
755,SNRD,84,0.0
756,SNRD,85,0.0
757,SNRD,86,0.0
758,SNRD,87,0.0
759,SNRD,88,0.0
760,SNRD,89,0.0
761,SNRD,90,0.0
762,SNRD,91,-277500.0
763,SNRD,92,-277500.0
764,SNRD,93,-277500.0
765,SNRD,94,-277500.0
766,SNRD,95,-277500.0
767,SNRD,96,-277500.0
768,HARF,73,-277500.0
769,HARF,74,-277500.0
770,HARF,75,-277500.0
771,HARF,76,-277500.0
772,HARF,77,-277500.0
773,HARF,78,-277500.0
774,HARF,79,-277500.0
775,HARF,80,-277500.0
776,HARF,81,0.0
777,HARF,82,0.0
778,HARF,83,0.0
779,HARF,84,0.0
780,HARF,85,0.0
781,HARF,86,0.0
782,HARF,87,0.0
783,HARF,88,0.0
784,HARF,89,0.0
785,HARF,90,0.0
786,HARF,91,-277500.0
787,HARF,92,-277500.0
788,HARF,93,-277500.0
789,HARF,94,-277500.0
790,HARF,95,-277500.0
791,HARF,96,-277500.0
792,GENE,73,-277500.0
793,GENE,74,-277500.0
