Year,Month,Day,Hour,CORN1,CORN2
2023,1,7,19,13.56069879,0
2023,1,7,20,13.51364808,0
2023,1,7,21,13.64433293,0
2023,1,7,22,13.6280365,0
2023,1,7,23,13.33648542,0
2023,1,8,0,13.0260432,0
2023,1,8,1,12.68698737,0
2023,1,8,2,12.45521962,0
2023,1,8,3,12.15243339,0
2023,1,8,4,11.76256281,0
2023,1,8,5,11.77465103,0
2023,1,8,6,11.86062262,0
2023,1,8,7,11.78818362,0
2023,1,8,8,11.69106236,0
2023,1,8,9,11.63359379,0
2023,1,8,10,11.99171413,0
2023,1,8,11,12.49972087,0
2023,1,8,12,12.90778784,0
2023,1,8,13,12.97238858,0
2023,1,8,14,13.01659401,0
2023,1,8,15,13.19431792,0
2023,1,8,16,13.30020568,0
2023,1,8,17,13.38818485,0
2023,1,8,18,13.2862215,0
2023,1,8,19,13.19474103,0
2023,1,8,20,13.26204186,0
2023,1,8,21,13.30080728,0
2023,1,8,22,13.46840675,0
2023,1,8,23,13.24030939,0
2023,1,9,0,13.04826081,0
2023,1,9,1,12.77609812,0
2023,1,9,2,12.4979207,0
2023,1,9,3,12.22650237,0
2023,1,9,4,12.00911121,0
2023,1,9,5,11.64045052,0
2023,1,9,6,11.68444123,0
2023,1,9,7,11.82543007,0
2023,1,9,8,11.94953442,0
2023,1,9,9,12.02591987,0
2023,1,9,10,12.58430049,0
2023,1,9,11,13.35459627,0
2023,1,9,12,14.31445621,0
2023,1,9,13,14.81549411,0
2023,1,9,14,15.35429985,0
2023,1,9,15,15.74084187,0
2023,1,9,16,15.7771867,0
2023,1,9,17,15.5419818,0
2023,1,9,18,15.43079898,0
2023,1,9,19,15.39107875,0
2023,1,9,20,15.14790868,0
2023,1,9,21,14.91722088,0
2023,1,9,22,14.62328496,0
2023,1,9,23,13.81347024,0
2023,1,10,0,13.35663654,0
2023,1,10,1,12.96503943,0
2023,1,10,2,12.62052459,0
2023,1,10,3,12.16580311,0
2023,1,10,4,11.78740885,0
2023,1,10,5,11.79532042,0
2023,1,10,6,11.84102301,0
2023,1,10,7,11.75212203,0
2023,1,10,8,11.69094773,0
2023,1,10,9,12.06011388,0
2023,1,10,10,12.75409892,0
2023,1,10,11,13.74391463,0
2023,1,10,12,14.48148833,0
2023,1,10,13,14.97762984,0
2023,1,10,14,15.5435969,0
2023,1,10,15,15.87437688,0
2023,1,10,16,16.03229794,0
2023,1,10,17,16.0637371,0
2023,1,10,18,16.03594183,0
2023,1,10,19,16.0119089,0
2023,1,10,20,15.64945313,0
2023,1,10,21,15.34727754,0
2023,1,10,22,14.88447646,0
2023,1,10,23,14.17910907,0
2023,1,11,0,13.58667491,0
2023,1,11,1,13.15142999,0
2023,1,11,2,12.62897925,0
2023,1,11,3,12.30737737,0
2023,1,11,4,12.00970771,0
2023,1,11,5,11.89005422,0
2023,1,11,6,11.80522968,0
2023,1,11,7,11.72047432,0
2023,1,11,8,11.90114434,0
2023,1,11,9,12.12016039,0
2023,1,11,10,12.83900428,0
2023,1,11,11,13.69704467,0
2023,1,11,12,14.51950073,0
2023,1,11,13,15.12903269,0
2023,1,11,14,15.56423305,0
2023,1,11,15,15.974559,0
2023,1,11,16,15.88487198,0
2023,1,11,17,15.87881833,0
2023,1,11,18,15.97452938,0
2023,1,11,19,15.80193423,0
2023,1,11,20,15.6733302,0
2023,1,11,21,15.34920693,0
2023,1,11,22,14.8167209,0
2023,1,11,23,14.10630971,0
2023,1,12,0,13.56451407,0
2023,1,12,1,12.9667833,0
2023,1,12,2,12.63908863,0
2023,1,12,3,12.37665643,0
2023,1,12,4,11.98548271,0
2023,1,12,5,11.86220353,0
2023,1,12,6,11.69814854,0
2023,1,12,7,11.67628987,0
2023,1,12,8,11.77692327,0
2023,1,12,9,12.05813967,0
2023,1,12,10,12.57151863,0
2023,1,12,11,13.71370263,0
2023,1,12,12,14.52487902,0
2023,1,12,13,15.25987055,0
2023,1,12,14,15.77098164,0
2023,1,12,15,16.13567405,0
2023,1,12,16,15.9426834,0
2023,1,12,17,15.9733489,0
2023,1,12,18,16.02892728,0
2023,1,12,19,16.0036721,0
2023,1,12,20,15.7848953,0
2023,1,12,21,15.35807835,0
2023,1,12,22,15.1292605,0
2023,1,12,23,14.53758059,0
2023,1,13,0,13.75374333,0
2023,1,13,1,12.94692093,0
2023,1,13,2,12.58266828,0
2023,1,13,3,12.02517339,0
2023,1,13,4,11.83444638,0
2023,1,13,5,11.63001149,0
2023,1,13,6,11.60941515,0
2023,1,13,7,11.68201415,0
2023,1,13,8,11.50522932,0
2023,1,13,9,12.00230042,0
2023,1,13,10,12.69232017,0
2023,1,13,11,13.51906719,0
2023,1,13,12,14.43943115,0
2023,1,13,13,14.91783746,0
2023,1,13,14,15.3361707,0
2023,1,13,15,15.78762356,0
2023,1,13,16,15.89619195,0
2023,1,13,17,15.8507731,0
2023,1,13,18,15.7985883,0
2023,1,13,19,15.75948863,0
2023,1,13,20,15.59660448,0
2023,1,13,21,15.35146202,0
2023,1,13,22,14.86774135,0
2023,1,13,23,14.34861213,0
2023,1,14,0,13.78427664,0
2023,1,14,1,13.15310904,0
2023,1,14,2,12.73208195,0
2023,1,14,3,12.28484818,0
2023,1,14,4,12.05651507,0
2023,1,14,5,11.93288096,0
2023,1,14,6,11.76210036,0
2023,1,14,7,11.78840107,0
2023,1,14,8,11.95387408,0
2023,1,14,9,11.94404984,0
2023,1,14,10,12.22864578,0
2023,1,14,11,12.69062863,0
2023,1,14,12,13.14592801,0
2023,1,14,13,13.42413424,0
2023,1,14,14,13.51107617,0
2023,1,14,15,13.68624466,0
2023,1,14,16,13.8053749,0
2023,1,14,17,13.79456408,0
2023,1,14,18,13.81319469,0
2023,1,14,19,13.8597089,0
2023,1,14,20,13.89387086,0
2023,1,14,21,13.84923616,0
2023,1,14,22,13.84306382,0
2023,1,14,23,13.63323055,0
2023,1,15,0,13.29225878,0
2023,1,15,1,12.9161003,0
2023,1,15,2,12.86421891,0
2023,1,15,3,12.46991407,0
2023,1,15,4,12.1414443,0
2023,1,15,5,11.9939685,0
2023,1,15,6,11.95921422,0
2023,1,15,7,11.91855267,0
2023,1,15,8,11.83815322,0
2023,1,15,9,11.87622215,0
2023,1,15,10,12.22568388,0
2023,1,15,11,12.77138735,0
2023,1,15,12,13.14355133,0
2023,1,15,13,13.18818957,0
2023,1,15,14,13.37556276,0
2023,1,15,15,13.51139816,0
2023,1,15,16,13.62359337,0
2023,1,15,17,13.64019645,0
2023,1,15,18,13.68236705,0
2023,1,15,19,13.70010112,0
2023,1,15,20,13.66287083,0
2023,1,15,21,13.61483425,0
2023,1,15,22,13.81376945,0
2023,1,15,23,13.55545571,0
2023,1,16,0,13.23103766,0
2023,1,16,1,12.9062304,0
2023,1,16,2,12.67795081,0
2023,1,16,3,12.30502836,0
2023,1,16,4,12.05104815,0
2023,1,16,5,11.87214298,0
2023,1,16,6,11.78690797,0
2023,1,16,7,11.9612728,0
2023,1,16,8,11.9841646,0
2023,1,16,9,12.12549316,0
2023,1,16,10,12.47805432,0
2023,1,16,11,13.23485673,0
2023,1,16,12,13.79134324,0
2023,1,16,13,13.9807403,0
2023,1,16,14,14.17649212,0
2023,1,16,15,14.1878996,0
2023,1,16,16,14.37760011,0
2023,1,16,17,14.13991859,0
2023,1,16,18,14.10703501,0
2023,1,16,19,14.12999515,0
2023,1,16,20,14.24317401,0
2023,1,16,21,14.22905374,0
2023,1,16,22,14.20145112,0
2023,1,16,23,13.78812475,0
2023,1,17,0,13.43773097,0
2023,1,17,1,12.94532743,0
2023,1,17,2,12.61985484,0
2023,1,17,3,12.45084108,0
2023,1,17,4,12.16755562,0
2023,1,17,5,11.94412962,0
2023,1,17,6,11.85721488,0
2023,1,17,7,11.79683736,0
2023,1,17,8,11.9713017,0
2023,1,17,9,12.27129561,0
2023,1,17,10,12.97773587,0
2023,1,17,11,13.93485166,0
2023,1,17,12,14.72706129,0
2023,1,17,13,15.42304299,0
2023,1,17,14,16.191277,0
2023,1,17,15,16.46723312,0
2023,1,17,16,16.47605405,0
2023,1,17,17,16.42798615,0
2023,1,17,18,16.48299058,0
2023,1,17,19,16.46540003,0
2023,1,17,20,16.31328865,0
2023,1,17,21,16.02653265,0
2023,1,17,22,15.41037925,0
2023,1,17,23,14.72350085,0
2023,1,18,0,13.98827991,0
2023,1,18,1,13.10342119,0
2023,1,18,2,12.8714512,0
2023,1,18,3,12.63884303,0
2023,1,18,4,12.21862651,0
2023,1,18,5,12.01028859,0
2023,1,18,6,11.86134294,0
2023,1,18,7,11.80218387,0
2023,1,18,8,11.89847152,0
2023,1,18,9,12.15569385,0
2023,1,18,10,12.82415031,0
2023,1,18,11,13.96004576,0
2023,1,18,12,14.70545133,0
2023,1,18,13,15.48598386,0
2023,1,18,14,16.05270341,0
2023,1,18,15,16.47605023,0
2023,1,18,16,16.70822443,0
2023,1,18,17,16.51822278,0
2023,1,18,18,16.44033415,0
2023,1,18,19,16.47926933,0
2023,1,18,20,16.44563888,0
2023,1,18,21,16.04219305,0
2023,1,18,22,15.39833945,0
2023,1,18,23,14.7403042,0
2023,1,19,0,14.22378694,0
2023,1,19,1,13.62878786,0
2023,1,19,2,13.13441103,0
2023,1,19,3,12.588875,0
2023,1,19,4,12.10269592,0
2023,1,19,5,12.10642362,0
2023,1,19,6,12.0258867,0
2023,1,19,7,11.91838639,0
2023,1,19,8,11.93516184,0
2023,1,19,9,12.16470037,0
2023,1,19,10,13.12912249,0
2023,1,19,11,14.1119456,0
2023,1,19,12,14.80631511,0
2023,1,19,13,15.5087696,0
2023,1,19,14,16.39150065,0
2023,1,19,15,16.7862077,0
2023,1,19,16,16.89164353,0
2023,1,19,17,16.97032433,0
2023,1,19,18,17.08505908,0
2023,1,19,19,16.9049879,0
2023,1,19,20,16.58069168,0
2023,1,19,21,16.39726825,0
2023,1,19,22,15.94785312,0
2023,1,19,23,15.48477726,0
2023,1,20,0,14.82550948,0
2023,1,20,1,13.8736013,0
2023,1,20,2,13.26375473,0
2023,1,20,3,12.6642332,0
2023,1,20,4,12.41469823,0
2023,1,20,5,12.22438109,0
2023,1,20,6,12.1542689,0
2023,1,20,7,11.96056724,0
2023,1,20,8,11.94678428,0
2023,1,20,9,12.34966994,0
2023,1,20,10,13.1062938,0
2023,1,20,11,14.0147074,0
2023,1,20,12,14.81943174,0
2023,1,20,13,15.54969193,0
2023,1,20,14,16.16866733,0
2023,1,20,15,16.5623659,0
2023,1,20,16,16.61902034,0
2023,1,20,17,16.61707718,0
2023,1,20,18,16.76747323,0
2023,1,20,19,16.78033888,0
2023,1,20,20,16.90982015,0
2023,1,20,21,16.91672585,0
2023,1,20,22,16.32334815,0
2023,1,20,23,15.40374592,0
2023,1,21,0,14.69978272,0
2023,1,21,1,14.05757942,0
2023,1,21,2,13.74105818,0
2023,1,21,3,13.18789321,0
2023,1,21,4,12.74715837,0
2023,1,21,5,12.50283945,0
2023,1,21,6,12.32399764,0
