,Generator,Time,Value
147,Cornell_CUBO,28,0.0
148,Cornell_CUBO,29,0.0
149,Cornell_CUBO,30,0.0
150,Cornell_CUBO,31,0.0
151,Cornell_CUBO,32,0.0
152,Cornell_CUBO,33,0.0
153,Cornell_CUBO,34,0.0
154,Cornell_CUBO,35,0.0
155,Cornell_CUBO,36,0.0
156,Cornell_CUBO,37,0.0
157,Cornell_CUBO,38,0.0
158,Cornell_CUBO,39,0.0
159,Cornell_CUBO,40,0.0
160,Cornell_CUBO,41,0.0
161,Cornell_CUBO,42,0.0
162,Cornell_CUBO,43,0.0
163,Cornell_CUBO,44,0.0
164,Cornell_CUBO,45,0.0
165,Cornell_CUBO,46,0.0
166,Cornell_CUBO,47,0.0
167,Cornell_CUBO,48,0.0
168,Cornell_Hydrogen,25,0.0
169,Cornell_Hydrogen,26,0.0
170,Cornell_Hydrogen,27,0.0
171,Cornell_Hydrogen,28,0.0
172,Cornell_Hydrogen,29,0.0
173,Cornell_Hydrogen,30,0.0
174,Cornell_Hydrogen,31,0.0
175,Cornell_Hydrogen,32,0.0
176,Cornell_Hydrogen,33,0.0
177,Cornell_Hydrogen,34,0.0
178,Cornell_Hydrogen,35,0.0
179,Cornell_Hydrogen,36,0.0
180,Cornell_Hydrogen,37,0.0
181,Cornell_Hydrogen,38,0.0
182,Cornell_Hydrogen,39,0.0
183,Cornell_Hydrogen,40,0.0
184,Cornell_Hydrogen,41,0.0
185,Cornell_Hydrogen,42,0.0
186,Cornell_Hydrogen,43,0.0
187,Cornell_Hydrogen,44,0.0
188,Cornell_Hydrogen,45,0.0
189,Cornell_Hydrogen,46,0.0
190,Cornell_Hydrogen,47,0.0
191,Cornell_Hydrogen,48,0.0
192,Cornell_CEP,49,0.0
193,Cornell_CEP,50,0.0
194,Cornell_CEP,51,0.0
195,Cornell_CEP,52,0.0
196,Cornell_CEP,53,0.0
197,Cornell_CEP,54,0.0
198,Cornell_CEP,55,0.0
199,Cornell_CEP,56,0.0
200,Cornell_CEP,57,0.0
201,Cornell_CEP,58,0.0
202,Cornell_CEP,59,0.0
203,Cornell_CEP,60,0.0
204,Cornell_CEP,61,0.0
205,Cornell_CEP,62,0.0
206,Cornell_CEP,63,0.0
207,Cornell_CEP,64,0.0
208,Cornell_CEP,65,0.0
209,Cornell_CEP,66,0.0
210,Cornell_CEP,67,0.0
211,Cornell_CEP,68,0.0
212,Cornell_CEP,69,0.0
213,Cornell_CEP,70,0.0
214,Cornell_CEP,71,0.0
215,Cornell_CEP,72,0.0
216,NYS_Grid,49,1.8540515160002542
217,NYS_Grid,50,1.7961831119991984
218,NYS_Grid,51,1.7502871965007216
219,NYS_Grid,52,1.7593374104999384
220,NYS_Grid,53,1.741503670500606
221,NYS_Grid,54,1.7281729589994939
222,NYS_Grid,55,1.7197483470008592
