,Generator,Time,Value
156,Cornell_CUBO,37,0.0
157,Cornell_CUBO,38,0.0
158,Cornell_CUBO,39,0.0
159,Cornell_CUBO,40,0.0
160,Cornell_CUBO,41,0.0
161,Cornell_CUBO,42,0.0
162,Cornell_CUBO,43,3.0
163,Cornell_CUBO,44,3.0
164,Cornell_CUBO,45,3.0
165,Cornell_CUBO,46,3.0
166,Cornell_CUBO,47,3.0
167,Cornell_CUBO,48,3.0
168,Cornell_Hydrogen,25,9.479682674324323
169,Cornell_Hydrogen,26,9.09820826554054
170,Cornell_Hydrogen,27,8.870268011378379
171,Cornell_Hydrogen,28,8.528509786486486
172,Cornell_Hydrogen,29,8.508858302702702
173,Cornell_Hydrogen,30,8.527788554729728
174,Cornell_Hydrogen,31,8.481263910135135
175,Cornell_Hydrogen,32,8.53667078581081
176,Cornell_Hydrogen,33,0.0
177,Cornell_Hydrogen,34,0.0
178,Cornell_Hydrogen,35,0.0
179,Cornell_Hydrogen,36,0.0
180,Cornell_Hydrogen,37,0.0
181,Cornell_Hydrogen,38,0.0
182,Cornell_Hydrogen,39,0.0
183,Cornell_Hydrogen,40,0.0
184,Cornell_Hydrogen,41,0.0
185,Cornell_Hydrogen,42,0.0
186,Cornell_Hydrogen,43,10.041738593243242
187,Cornell_Hydrogen,44,10.009709579054052
188,Cornell_Hydrogen,45,9.946737814864864
189,Cornell_Hydrogen,46,9.979488828378377
190,Cornell_Hydrogen,47,10.174949408108109
191,Cornell_Hydrogen,48,9.89749069054054
192,Cornell_CEP,49,0.0
193,Cornell_CEP,50,0.0
194,Cornell_CEP,51,0.0
195,Cornell_CEP,52,0.0
196,Cornell_CEP,53,0.0
197,Cornell_CEP,54,0.0
198,Cornell_CEP,55,0.0
199,Cornell_CEP,56,0.0
200,Cornell_CEP,57,0.0
201,Cornell_CEP,58,0.0
202,Cornell_CEP,59,0.0
203,Cornell_CEP,60,0.0
204,Cornell_CEP,61,0.0
205,Cornell_CEP,62,0.0
206,Cornell_CEP,63,0.0
207,Cornell_CEP,64,0.0
208,Cornell_CEP,65,0.0
209,Cornell_CEP,66,0.0
210,Cornell_CEP,67,0.0
211,Cornell_CEP,68,0.0
212,Cornell_CEP,69,0.0
213,Cornell_CEP,70,0.0
214,Cornell_CEP,71,0.0
215,Cornell_CEP,72,0.0
216,NYS_Grid,49,0.0
217,NYS_Grid,50,0.0
218,NYS_Grid,51,0.0
219,NYS_Grid,52,0.0
220,NYS_Grid,53,0.0
221,NYS_Grid,54,0.0
222,NYS_Grid,55,0.0
223,NYS_Grid,56,0.0
224,NYS_Grid,57,0.0
225,NYS_Grid,58,0.0
226,NYS_Grid,59,0.0
227,NYS_Grid,60,0.0
228,NYS_Grid,61,0.0
229,NYS_Grid,62,0.0
230,NYS_Grid,63,0.0
231,NYS_Grid,64,0.0
232,NYS_Grid,65,0.0
233,NYS_Grid,66,0.0
234,NYS_Grid,67,0.0
235,NYS_Grid,68,0.0
236,NYS_Grid,69,0.0
237,NYS_Grid,70,0.0
238,NYS_Grid,71,0.0
239,NYS_Grid,72,0.0
240,Cornell_CUBO,49,3.0
241,Cornell_CUBO,50,3.0
242,Cornell_CUBO,51,3.0
243,Cornell_CUBO,52,3.0
244,Cornell_CUBO,53,2.9999999999999982
